run,gen,playouts,white_win_rate,black_win_rate,win_rate
DEFAULT_big_window,0,0.0,0.0,0.0,0.0
DEFAULT_big_window,3,269169000.0,0.0999999999999999,0.0399999999999999,0.07
DEFAULT_big_window,6,552929400.0,0.12,0.0399999999999999,0.08
DEFAULT_big_window,9,870431400.0,0.14,0.06,0.0999999999999999
DEFAULT_big_window,12,1170360600.0,0.14,0.06,0.0999999999999999
DEFAULT_big_window,15,1489108200.0,0.18,0.06,0.12
DEFAULT_big_window,18,1793925000.0,0.18,0.1599999999999999,0.1699999999999999
DEFAULT_big_window,21,2108208600.0,0.2,0.12,0.1599999999999999
DEFAULT_big_window,24,2427409200.0,0.18,0.06,0.12
DEFAULT_big_window,27,2745782400.0,0.2,0.08,0.14
DEFAULT_big_window,30,3053607600.0,0.24,0.12,0.18
DEFAULT_big_window,33,3346084200.0,0.3399999999999999,0.0999999999999999,0.2199999999999999
DEFAULT_big_window,36,3670049400.0,0.28,0.1599999999999999,0.2199999999999999
DEFAULT_big_window,39,3988284600.0,0.3399999999999999,0.1599999999999999,0.25
DEFAULT_big_window,42,4303173000.0,0.28,0.18,0.2299999999999999
DEFAULT_big_window,45,4635645600.0,0.3,0.0999999999999999,0.2
DEFAULT_big_window,48,4960553400.0,0.32,0.0999999999999999,0.21
DEFAULT_big_window,51,5286139800.0,0.36,0.14,0.25
DEFAULT_big_window,54,5600478600.0,0.3399999999999999,0.18,0.26
DEFAULT_big_window,57,5900693400.0,0.42,0.1599999999999999,0.29
DEFAULT_big_window,60,6194346600.0,0.38,0.14,0.26
DEFAULT_big_window,63,6503970000.0,0.44,0.18,0.31
DEFAULT_big_window,66,6825048000.0,0.3399999999999999,0.14,0.24
DEFAULT_big_window,69,7124728800.0,0.44,0.2,0.32
DEFAULT_big_window,72,7429801200.0,0.46,0.18,0.32
DEFAULT_big_window,75,7747377000.0,0.46,0.1599999999999999,0.31
DEFAULT_big_window,78,8056228800.0,0.5,0.0399999999999999,0.27
DEFAULT_big_window,81,8387119800.0,0.5,0.18,0.3399999999999999
DEFAULT_big_window,84,8730549600.0,0.4,0.2,0.3
DEFAULT_big_window,87,9071331000.0,0.6,0.1599999999999999,0.38
DEFAULT_big_window,90,9386166600.0,0.48,0.18,0.3299999999999999
DEFAULT_big_window,93,9662549400.0,0.48,0.2199999999999999,0.35
DEFAULT_big_window,96,9971703000.0,0.5,0.2199999999999999,0.36
DEFAULT_big_window,99,10293693000.0,0.42,0.24,0.32999999999999996
