,gen,error_type,error,playouts
519,17,policy_prior_error,1.883694502735138,9612280800
517,17,nn_value_error,0.7836026686313475,9717063600
516,17,mcts_value_error,0.3159442281463692,9821846400
520,17,rmse_nn_value_error,0.8852133463924657,9926629200
39,18,policy_prior_error,1.883456974852085,10031688600
38,18,policy_mcts_error,1.846094130897522,10136748000
37,18,nn_value_error,0.7315530726175901,10241807400
40,18,rmse_nn_value_error,0.8553087586466013,10346866800
36,18,mcts_value_error,0.3181145799852558,10451926200
41,18,rmse_mcts_value_error,0.5640164713776148,10556985600
192,19,mcts_value_error,0.3138525885966671,10667095800
197,19,rmse_mcts_value_error,0.5602254801387269,10777206000
196,19,rmse_nn_value_error,0.8484471562984843,10887316200
195,19,policy_prior_error,1.8823033886790275,10997426400
194,19,policy_mcts_error,1.8455921943306923,11107536600
193,19,nn_value_error,0.7198625770309848,11217646800
395,20,rmse_mcts_value_error,0.5495216189453169,11321998800
394,20,rmse_nn_value_error,0.8433398830418273,11426350800
393,20,policy_prior_error,1.8820347654223442,11530702800
392,20,policy_mcts_error,1.844545813882351,11635054800
391,20,nn_value_error,0.7112221583290029,11739406800
390,20,mcts_value_error,0.30197400968828214,11843758800
367,21,nn_value_error,0.7437718633956988,11959572600
369,21,policy_prior_error,1.880426776278019,12075386400
370,21,rmse_nn_value_error,0.8624220912034308,12191200200
371,21,rmse_mcts_value_error,0.5488254428999519,12307014000
368,21,policy_mcts_error,1.8447772031188012,12422827800
366,21,mcts_value_error,0.3012093667743284,12538641600
185,22,rmse_mcts_value_error,0.5393045120443476,12647940600
182,22,policy_mcts_error,1.8442849775195123,12757239600
181,22,nn_value_error,0.7127422405709671,12866538600
180,22,mcts_value_error,0.29084935671139184,12975837600
184,22,rmse_nn_value_error,0.8442406295428853,13085136600
183,22,policy_prior_error,1.880342462694645,13194435600
498,23,mcts_value_error,0.27130413233912787,13304293200
500,23,policy_mcts_error,1.8416932472348213,13414150800
501,23,policy_prior_error,1.879378527212143,13524008400
502,23,rmse_nn_value_error,0.8312670785095527,13633866000
503,23,rmse_mcts_value_error,0.5208686325160384,13743723600
499,23,nn_value_error,0.6910049558138069,13853581200
600,24,mcts_value_error,0.2859370006376444,13969537200
601,24,nn_value_error,0.7148712104183911,14085493200
602,24,policy_mcts_error,1.8425658802509308,14201449200
603,24,policy_prior_error,1.8801996846795082,14317405200
604,24,rmse_nn_value_error,0.8455005679586449,14433361200
605,24,rmse_mcts_value_error,0.5347307739766287,14549317200
322,25,rmse_nn_value_error,0.831739486282162,14660341200
321,25,policy_prior_error,1.8786125766396522,14771365200
320,25,policy_mcts_error,1.843008537387848,14882389200
319,25,nn_value_error,0.6917905730409147,14993413200
318,25,mcts_value_error,0.28096270146216734,15104437200
323,25,rmse_mcts_value_error,0.530059149022227,15215461200
306,26,mcts_value_error,0.27102736383909953,15318700800
307,26,nn_value_error,0.6753526076121198,15421940400
308,26,policy_mcts_error,1.841365208017826,15525180000
309,26,policy_prior_error,1.8780189383029937,15628419600
310,26,rmse_nn_value_error,0.821798398399583,15731659200
311,26,rmse_mcts_value_error,0.520602884970012,15834898800
143,27,rmse_mcts_value_error,0.5189269215747971,15951627000
142,27,rmse_nn_value_error,0.8079780983010867,16068355200
141,27,policy_prior_error,1.877511023104191,16185083400
140,27,policy_mcts_error,1.840522328722477,16301811600
139,27,nn_value_error,0.6528286073342405,16418539800
138,27,mcts_value_error,0.26928514993509567,16535268000
563,28,rmse_mcts_value_error,0.5347147787731971,16654782600
562,28,rmse_nn_value_error,0.8224668308386524,16774297200
561,28,policy_prior_error,1.8770362867951393,16893811800
559,28,nn_value_error,0.6764516878297764,17013326400
558,28,mcts_value_error,0.2859198946384691,17132841000
560,28,policy_mcts_error,1.8402257914304734,17252355600
209,29,rmse_mcts_value_error,0.5310443852825147,17369583000
205,29,nn_value_error,0.658063981376317,17486810400
206,29,policy_mcts_error,1.8417760265469552,17604037800
207,29,policy_prior_error,1.8764424036860465,17721265200
208,29,rmse_nn_value_error,0.8112114282826131,17838492600
204,29,mcts_value_error,0.282008139140084,17955720000
473,30,rmse_mcts_value_error,0.5337889984272144,18064366200
472,30,rmse_nn_value_error,0.8253605329213779,18173012400
471,30,policy_prior_error,1.876957948422432,18281658600
470,30,policy_mcts_error,1.8401987484812736,18390304800
469,30,nn_value_error,0.681220009304261,18498951000
468,30,mcts_value_error,0.2849306948419287,18607597200
332,31,policy_mcts_error,1.841028289759159,18724611600
335,31,rmse_mcts_value_error,0.5333225522053103,18841626000
334,31,rmse_nn_value_error,0.8225329861482695,18958640400
333,31,policy_prior_error,1.8754976164460182,19075654800
331,31,nn_value_error,0.6765605133019893,19192669200
330,31,mcts_value_error,0.284432944690786,19309683600
353,32,rmse_mcts_value_error,0.5271219117924888,19427970600
351,32,policy_prior_error,1.8760246287703515,19546257600
350,32,policy_mcts_error,1.8383728847384453,19664544600
349,32,nn_value_error,0.6450805078855963,19782831600
348,32,mcts_value_error,0.2778575098917684,19901118600
352,32,rmse_nn_value_error,0.8031690406667804,20019405600
447,33,policy_prior_error,1.875294054543972,20137621800
446,33,policy_mcts_error,1.839119673192501,20255838000
449,33,rmse_mcts_value_error,0.5238488068808979,20374054200
445,33,nn_value_error,0.6704228275512796,20492270400
444,33,mcts_value_error,0.2744175724705402,20610486600
448,33,rmse_nn_value_error,0.8187935194853948,20728702800
50,34,policy_mcts_error,1.8382764629244805,20846388600
49,34,nn_value_error,0.6385763016830859,20964074400
53,34,rmse_mcts_value_error,0.523348741916196,21081760200
52,34,rmse_nn_value_error,0.799109693147997,21199446000
51,34,policy_prior_error,1.8745040364742278,21317131800
48,34,mcts_value_error,0.27389390566526506,21434817600
72,35,mcts_value_error,0.2645139955600598,21552328200
76,35,rmse_nn_value_error,0.8123667004654624,21669838800
74,35,policy_mcts_error,1.840206144785881,21787349400
77,35,rmse_mcts_value_error,0.5143092411769983,21904860000
73,35,nn_value_error,0.6599396560251424,22022370600
75,35,policy_prior_error,1.8747614498376846,22139881200
279,36,policy_prior_error,1.874669066953659,22258052400
278,36,policy_mcts_error,1.839036494910717,22376223600
276,36,mcts_value_error,0.26803514689358154,22494394800
280,36,rmse_nn_value_error,0.8004479584529203,22612566000
277,36,nn_value_error,0.640716934191448,22730737200
281,36,rmse_mcts_value_error,0.5177211091829089,22848908400
381,37,policy_prior_error,1.8735335115909577,22967236800
380,37,policy_mcts_error,1.8383228377342224,23085565200
378,37,mcts_value_error,0.26793097607672084,23203893600
379,37,nn_value_error,0.6397140644415973,23322222000
383,37,rmse_mcts_value_error,0.5176204942587965,23440550400
382,37,rmse_nn_value_error,0.7998212703108096,23558878800
384,38,mcts_value_error,0.2692283649784565,23678091000
386,38,policy_mcts_error,1.8391210190296172,23797303200
385,38,nn_value_error,0.6274205474697865,23916515400
388,38,rmse_nn_value_error,0.7920988243077921,24035727600
389,38,rmse_mcts_value_error,0.5188722048620994,24154939800
387,38,policy_prior_error,1.8737399058699609,24274152000
69,39,policy_prior_error,1.8725977651000023,24392601600
71,39,rmse_mcts_value_error,0.5071794549363865,24511051200
68,39,policy_mcts_error,1.8380165224432945,24629500800
67,39,nn_value_error,0.6331612575477238,24747950400
66,39,mcts_value_error,0.25723099950957007,24866400000
70,39,rmse_nn_value_error,0.7957143064867715,24984849600
511,40,nn_value_error,0.6403239623510152,25103929800
512,40,policy_mcts_error,1.838207423198223,25223010000
513,40,policy_prior_error,1.8726379348516464,25342090200
514,40,rmse_nn_value_error,0.8002024508529171,25461170400
515,40,rmse_mcts_value_error,0.5085604531135614,25580250600
510,40,mcts_value_error,0.25863373447107085,25699330800
327,41,policy_prior_error,1.8729975609779357,25812345600
329,41,rmse_mcts_value_error,0.5194065397047553,25925360400
326,41,policy_mcts_error,1.837807396173477,26038375200
325,41,nn_value_error,0.6351209692381123,26151390000
328,41,rmse_nn_value_error,0.7969447717615772,26264404800
324,41,mcts_value_error,0.2697831534880675,26377419600
245,42,rmse_mcts_value_error,0.542114696857143,26468695800
244,42,rmse_nn_value_error,0.8236273997421805,26559972000
243,42,policy_prior_error,1.870614435338974,26651248200
242,42,policy_mcts_error,1.840008175635338,26742524400
241,42,nn_value_error,0.6783620936060656,26833800600
240,42,mcts_value_error,0.293888344548512,26925076800
201,43,policy_prior_error,1.8713427365541457,27032569800
202,43,rmse_nn_value_error,0.7707097760917583,27140062800
203,43,rmse_mcts_value_error,0.512723155681337,27247555800
199,43,nn_value_error,0.5939935589634081,27355048800
198,43,mcts_value_error,0.26288503437182853,27462541800
200,43,policy_mcts_error,1.8363359158396722,27570034800
19,44,nn_value_error,0.6416774715420082,27688923600
18,44,mcts_value_error,0.2777783742860762,27807812400
20,44,policy_mcts_error,1.8382524577617645,27926701200
21,44,policy_prior_error,1.8714066547513009,28045590000
22,44,rmse_nn_value_error,0.801047733622665,28164478800
23,44,rmse_mcts_value_error,0.527046842591886,28283367600
64,45,rmse_nn_value_error,0.7660465823712198,28402397400
61,45,nn_value_error,0.586827366362626,28521427200
65,45,rmse_mcts_value_error,0.4967172624234875,28640457000
63,45,policy_prior_error,1.8701113994956016,28759486800
62,45,policy_mcts_error,1.8362942650079728,28878516600
60,45,mcts_value_error,0.24672803878948377,28997546400
525,46,policy_prior_error,1.8709483236432076,29091860400
527,46,rmse_mcts_value_error,0.5127130822317282,29186174400
523,46,nn_value_error,0.6121304510068061,29280488400
524,46,policy_mcts_error,1.836865182054043,29374802400
526,46,rmse_nn_value_error,0.7823876603109268,29469116400
522,46,mcts_value_error,0.2628747046915588,29563430400
611,47,rmse_mcts_value_error,0.5057372956811925,29662401000
610,47,rmse_nn_value_error,0.7652408436784266,29761371600
609,47,policy_prior_error,1.8712948240280152,29860342200
608,47,policy_mcts_error,1.8359764325380326,29959312800
607,47,nn_value_error,0.5855935488336702,30058283400
606,47,mcts_value_error,0.25577021224292595,30157254000
232,48,rmse_nn_value_error,0.7976962449080284,30265595400
228,48,mcts_value_error,0.2641463609572863,30373936800
230,48,policy_mcts_error,1.8354441643238069,30482278200
231,48,policy_prior_error,1.8702872143030167,30590619600
233,48,rmse_mcts_value_error,0.5139517107251286,30698961000
229,48,nn_value_error,0.6363192991403691,30807302400
108,49,mcts_value_error,0.25159882330383115,30926308800
113,49,rmse_mcts_value_error,0.5015962752092874,31045315200
112,49,rmse_nn_value_error,0.7710388167855321,31164321600
111,49,policy_prior_error,1.8700100634932517,31283328000
110,49,policy_mcts_error,1.8348117541193962,31402334400
109,49,nn_value_error,0.5945008569900333,31521340800
155,50,rmse_mcts_value_error,0.5142046970473847,31642465800
154,50,rmse_nn_value_error,0.7776513082549176,31763590800
151,50,nn_value_error,0.6047415572305848,31884715800
153,50,policy_prior_error,1.8707750500202178,32005840800
152,50,policy_mcts_error,1.8350759657859803,32126965800
150,50,mcts_value_error,0.2644064704655927,32248090800
251,51,rmse_mcts_value_error,0.49571817372826177,32369832000
246,51,mcts_value_error,0.2457365077644831,32491573200
247,51,nn_value_error,0.5914006540051308,32613314400
248,51,policy_mcts_error,1.8340830366492271,32735055600
249,51,policy_prior_error,1.870444186282158,32856796800
250,51,rmse_nn_value_error,0.7690257824059807,32978538000
479,52,rmse_mcts_value_error,0.49316746976115894,33096756000
478,52,rmse_nn_value_error,0.777604237204482,33214974000
477,52,policy_prior_error,1.87060012165308,33333192000
476,52,policy_mcts_error,1.8351796325564385,33451410000
475,52,nn_value_error,0.6046683497183644,33569628000
474,52,mcts_value_error,0.2432141532306236,33687846000
126,53,mcts_value_error,0.2473656135047701,33781327800
127,53,nn_value_error,0.5622798867248061,33874809600
128,53,policy_mcts_error,1.834530093204975,33968291400
130,53,rmse_nn_value_error,0.7498532434582157,34061773200
129,53,policy_prior_error,1.8701874071478843,34155255000
131,53,rmse_mcts_value_error,0.4973586367047124,34248736800
317,54,rmse_mcts_value_error,0.48924181764114555,34368862200
316,54,rmse_nn_value_error,0.7585707244246923,34488987600
315,54,policy_prior_error,1.867999187397957,34609113000
314,54,policy_mcts_error,1.833522831249237,34729238400
313,54,nn_value_error,0.5754295439542024,34849363800
312,54,mcts_value_error,0.23935755612881193,34969489200
612,55,mcts_value_error,0.2390833359146107,35080686600
613,55,nn_value_error,0.6025729219289451,35191884000
615,55,policy_prior_error,1.8686393710970879,35303081400
617,55,rmse_mcts_value_error,0.48896148714864107,35414278800
616,55,rmse_nn_value_error,0.7762557065355108,35525476200
614,55,policy_mcts_error,1.833453652870655,35636673600
413,56,rmse_mcts_value_error,0.4911814351315873,35712564000
411,56,policy_prior_error,1.8683035434007644,35788454400
410,56,policy_mcts_error,1.8336987411379815,35864344800
409,56,nn_value_error,0.5909478501837078,35940235200
408,56,mcts_value_error,0.2412592022179257,36016125600
412,56,rmse_nn_value_error,0.7687313250959061,36092016000
415,57,nn_value_error,0.5602527930652138,36206824200
416,57,policy_mcts_error,1.8337418820142746,36321632400
417,57,policy_prior_error,1.8668860257983209,36436440600
418,57,rmse_nn_value_error,0.748500362768926,36551248800
419,57,rmse_mcts_value_error,0.4830750696989882,36666057000
414,57,mcts_value_error,0.23336152296468232,36780865200
9,58,policy_prior_error,1.867345102083683,36888153000
6,58,mcts_value_error,0.2410042884730464,36995440800
7,58,nn_value_error,0.586759564957989,37102728600
11,58,rmse_mcts_value_error,0.49092187614023314,37210016400
8,58,policy_mcts_error,1.833037175297737,37317304200
10,58,rmse_nn_value_error,0.7660023269925418,37424592000
134,59,policy_mcts_error,1.8327689833045007,37507050600
135,59,policy_prior_error,1.8668549271464348,37589509200
136,59,rmse_nn_value_error,0.7410343579450527,37671967800
137,59,rmse_mcts_value_error,0.46471449109432317,37754426400
132,59,mcts_value_error,0.21595955823305577,37836885000
133,59,nn_value_error,0.5491319196550364,37919343600
443,60,rmse_mcts_value_error,0.46737807653715885,38029272000
438,60,mcts_value_error,0.2184422664275743,38139200400
439,60,nn_value_error,0.5249135464884477,38249128800
440,60,policy_mcts_error,1.8313779366612435,38359057200
441,60,policy_prior_error,1.867538195991516,38468985600
442,60,rmse_nn_value_error,0.7245091762624182,38578914000
282,61,mcts_value_error,0.2204689822483905,38687555400
283,61,nn_value_error,0.535567370728799,38796196800
287,61,rmse_mcts_value_error,0.4695412465890409,38904838200
286,61,rmse_nn_value_error,0.7318246857880643,39013479600
285,61,policy_prior_error,1.8669227355360984,39122121000
284,61,policy_mcts_error,1.8310424337863922,39230762400
545,62,rmse_mcts_value_error,0.479894824792843,39332733600
544,62,rmse_nn_value_error,0.7319892968762906,39434704800
543,62,policy_prior_error,1.8672812337756157,39536676000
542,62,policy_mcts_error,1.8320739342212677,39638647200
541,62,nn_value_error,0.5358083307414463,39740618400
540,62,mcts_value_error,0.2302990428629535,39842589600
483,63,policy_prior_error,1.8668716294407846,39963138600
485,63,rmse_mcts_value_error,0.47257185999483925,40083687600
482,63,policy_mcts_error,1.8316167463064195,40204236600
484,63,rmse_nn_value_error,0.7415581827599829,40324785600
481,63,nn_value_error,0.5499085384182881,40445334600
480,63,mcts_value_error,0.22332416285898193,40565883600
101,64,rmse_mcts_value_error,0.47088988921360103,40678670400
96,64,mcts_value_error,0.22173728776359744,40791457200
99,64,policy_prior_error,1.8671245621323584,40904244000
97,64,nn_value_error,0.5430803576219935,41017030800
98,64,policy_mcts_error,1.8311613847255708,41129817600
100,64,rmse_nn_value_error,0.7369398602477637,41242604400
423,65,policy_prior_error,1.8663625964283943,41356807800
425,65,rmse_mcts_value_error,0.4712486103718776,41471011200
422,65,policy_mcts_error,1.8320610835909843,41585214600
420,65,mcts_value_error,0.2220752527774257,41699418000
421,65,nn_value_error,0.5541743529922067,41813621400
424,65,rmse_nn_value_error,0.7444288770542198,41927824800
591,66,policy_prior_error,1.8668338594436646,42039817200
592,66,rmse_nn_value_error,0.7313872290529492,42151809600
590,66,policy_mcts_error,1.8323997561454772,42263802000
589,66,nn_value_error,0.5349272788217512,42375794400
588,66,mcts_value_error,0.2182843459605522,42487786800
593,66,rmse_mcts_value_error,0.4672091030369081,42599779200
493,67,nn_value_error,0.5242780283697356,42697584000
497,67,rmse_mcts_value_error,0.47441635933299414,42795388800
496,67,rmse_nn_value_error,0.7240704581528897,42893193600
495,67,policy_prior_error,1.8651374661564828,42990998400
492,67,mcts_value_error,0.22507088200277262,43088803200
494,67,policy_mcts_error,1.8320537330150604,43186608000
29,68,rmse_mcts_value_error,0.46736933438077555,43301752800
28,68,rmse_nn_value_error,0.7313950489018864,43416897600
27,68,policy_prior_error,1.865539626610279,43532042400
26,68,policy_mcts_error,1.830742345249653,43647187200
25,68,nn_value_error,0.5349387175581929,43762332000
24,68,mcts_value_error,0.21843409471952918,43877476800
535,69,nn_value_error,0.5326284624067258,43987878600
536,69,policy_mcts_error,1.8309408472657203,44098280400
